year,sst,National_Avg_Monsoon_Rainfall
1948,28.984276,1397.3
1949,28.758503,1636.4545454545455
1950,28.329119,1629.5833333333333
1951,28.909847,1506.923076923077
1952,28.529331,1676.5833333333333
1953,28.669287,1772.857142857143
1954,28.497746,1779.6
1955,28.69232,1803.6153846153843
1956,28.266964,1965.8666666666663
1957,29.184795,1277.9411764705883
1958,29.172335,1213.8823529411766
1959,28.706354,1716.8235294117646
1960,28.985222,1602.8235294117646
1961,28.266027,1582.2222222222222
1962,28.639502,1383.6666666666667
1963,28.481606,1647.235294117647
1964,28.972174,1693.85
1965,28.749842,2004.157894736842
1966,28.885353,1554.5217391304348
1967,28.776604,1494.095238095238
1968,28.660337,1775.2
1969,29.092323,1833.3636363636365
1970,29.350565,1731.6818181818182
1971,28.666582,1618.090909090909
1972,28.687567,1145.571428571429
1973,29.063282,1363.2608695652175
1974,28.999155,1900.7727272727277
1975,28.830347,1340.695652173913
1976,29.15485,1890.5833333333333
1977,29.0652,1630.321428571429
1978,28.963339,1721.24
1979,29.399536,1561.607142857143
1980,29.31412,1290.4444444444443
1981,28.759869,1598.6296296296296
1982,29.21168,1942.2758620689656
1983,29.425657,1767.344827586207
1984,28.74379,2170.620689655173
1985,28.963402,1698.5333333333333
1986,29.132278,1772.7333333333331
1987,29.524807,2166.709677419354
1988,29.599485,1920.1290322580649
1989,29.002016,1466.65625
1990,29.0872,1658.15625
1991,29.415071,1957.0882352941176
1992,28.879301,1373.1470588235295
1993,29.654167,1841.558823529412
1994,28.637506,1345.9411764705883
1995,28.999834,1776.2727272727273
1996,29.257566,1575.909090909091
1997,29.185919,1812.939393939394
1998,29.667702,1891.939393939394
1999,28.678562,2031.1142857142856
2000,28.96976,1658.4857142857145
2001,29.107727,1713.9714285714283
2002,29.464748,1954.5428571428567
2003,29.247734,1591.8235294117646
2004,29.180084,2214.323529411765
2005,29.35919,1695.029411764706
2006,29.199606,1561.6176470588234
2007,29.405392,2078.058823529412
2008,28.99326,1829.2285714285715
2009,29.553993,1678.3428571428572
2010,29.411194,1434.2
2011,29.109344,2229.0
2012,28.847975,1681.7714285714285
2013,28.835508,1491.8285714285714
2014,29.504612,570.2857142857143
