Year,Z500_OND,Z500_anomaly
1948,5742.5215,-10.653809
1949,5736.8945,-16.280762
1950,5758.334,5.1586914
1951,5765.869,12.693848
1952,5746.0527,-7.1225586
1953,5758.008,4.8325195
1954,5724.603,-28.572266
1955,5749.478,-3.6972656
1956,5747.595,-5.580078
1957,5751.0723,-2.1030273
1958,5769.105,15.9296875
1959,5755.6655,2.4902344
1960,5752.996,-0.17919922
1961,5722.642,-30.533203
1962,5739.107,-14.068359
1963,5749.02,-4.1552734
1964,5757.646,4.470703
1965,5750.4585,-2.7167969
1966,5733.9863,-19.188965
1967,5723.9487,-29.226562
1968,5746.8555,-6.319824
1969,5760.2207,7.04541
1970,5748.9453,-4.2299805
1971,5761.191,8.015625
1972,5754.8867,1.7114258
1973,5753.7134,0.53808594
1974,5736.937,-16.238281
1975,5738.723,-14.452148
1976,5743.1973,-9.978027
1977,5749.348,-3.8271484
1978,5762.3726,9.197266
1979,5761.203,8.027832
1980,5761.8906,8.715332
1981,5743.068,-10.107422
1982,5744.4434,-8.731934
1983,5751.8647,-1.3105469
1984,5739.1733,-14.001953
1985,5748.297,-4.878418
1986,5749.3384,-3.836914
1987,5781.145,27.969727
1988,5768.9126,15.737305
1989,5752.006,-1.1694336
1990,5766.762,13.586914
1991,5746.319,-6.8564453
1992,5758.7573,5.5820312
1993,5769.8022,16.626953
1994,5753.617,0.44189453
1995,5753.595,0.41992188
1996,5755.9644,2.7890625
1997,5742.0767,-11.098633
1998,5780.354,27.17871
1999,5761.9663,8.791016
2000,5755.814,2.6386719
2001,5766.69,13.514648
2002,5757.2153,4.040039
2003,5762.5996,9.424316
2004,5759.5776,6.4023438
2005,5755.2603,2.084961
2006,5765.4355,12.260254
2007,5762.185,9.009766
2008,5776.4336,23.2583
2009,5755.727,2.5517578
2010,5754.2524,1.0771484
2011,5759.963,6.7875977
2012,5739.631,-13.544434
2013,5756.846,3.6708984
