Year,sst
1948,28.396252
1949,28.391565
1950,28.082428
1951,28.34293
1952,28.189959
1953,28.296204
1954,28.231037
1955,28.247704
1956,27.933006
1957,28.62089
1958,28.538181
1959,28.402868
1960,28.42656
1961,28.075066
1962,28.318855
1963,28.277927
1964,28.454073
1965,28.345268
1966,28.548462
1967,28.422642
1968,28.382433
1969,28.739414
1970,28.88018
1971,28.357872
1972,28.55011
1973,28.708736
1974,28.574387
1975,28.450901
1976,28.677374
1977,28.796215
1978,28.48946
1979,28.908245
1980,28.969
1981,28.567024
1982,28.834005
1983,29.14864
1984,28.526243
1985,28.60749
1986,28.720499
1987,29.191431
1988,29.258804
1989,28.730442
1990,28.820553
1991,29.082413
1992,28.694098
1993,29.05628
1994,28.411743
1995,28.824707
1996,28.853527
1997,28.929476
1998,29.333588
1999,28.61013
2000,28.750761
2001,28.971012
2002,29.151031
2003,29.072481
2004,28.819702
2005,28.990091
2006,28.957083
2007,29.09836
2008,28.89722
2009,29.15901
2010,29.280586
2011,28.923447
2012,28.752144
2013,28.765362
2014,29.168348
